1,"Адыгея",4
2,"Башкортостан",10
3,"Бурятия",13
4,"Алтай",5
5,"Дагестан",18
6,"Ингушетия",21
7,"Кабардино-Балкария",23
8,"Калмыкия",25
9,"Карачаево-Черкессия",28
10,"Карелия",29
11,"Коми",31
12,"Марий Эл",41
13,"Мордовия",42
14,"Саха /Якутия/",60
15,"Северная Осетия",63
16,"Татарстан",68
17,"Тыва",72
18,"Удмуртия",74
19,"Хакасия",80
20,"Чечня",83
21,"Чувашия",85
22,"Алтайский край",6
23,"Краснодарский край",34
24,"Красноярский край",35
25,"Приморский край",54
26,"Ставропольский край",65
27,"Хабаровский край",79
28,"Амурская обл.",7
29,"Архангельская обл.",8
30,"Астраханская обл.",9
31,"Белгородская обл.",11
32,"Брянская обл.",12
33,"Владимирская обл.",14
34,"Волгоградская обл.",15
35,"Вологодская обл.",16
36,"Воронежская обл.",17
37,"Ивановская обл.",20
38,"Иркутская обл.",22
39,"Калининградская обл.",24
40,"Калужская обл.",26
41,"Камчатский край",27
42,"Кемеровская обл.",29
43,"Кировская обл.",30
44,"Костромская обл.",33
45,"Курганская обл.",36
46,"Курская обл.",37
47,"Ленинградская обл.",3
48,"Липецкая обл.",39
49,"Магаданская обл.",40
50,"Московская обл.",2
51,"Мурманская обл.",44
52,"Нижегородская обл.",46
53,"Новгородская обл.",47
54,"Новосибирская обл.",48
55,"Омская обл.",49
56,"Оренбургская обл.",50
57,"Орловская обл.",51
58,"Пензенская обл.",52
59,"Пермский край",53
60,"Псковская обл.",55
61,"Ростовская обл.",56
62,"Рязанская обл.",57
63,"Самарская обл.",58
64,"Саратовская обл.",59
65,"Сахалинская обл.",61
66,"Свердловская обл.",62
67,"Смоленская обл.",64
68,"Тамбовская обл.",67
69,"Тверская обл.",69
70,"Томская обл.",70
71,"Тульская обл.",71
72,"Тюменская обл.",73
73,"Ульяновская обл.",77
74,"Челябинская обл.",82
75,"Забайкальский край",84
76,"Ярославская обл.",88
77,"г. Москва",1
78,"г. Санкт-Петербург",2
79,"Еврейская Аобл.",19
83,"Ненецкий АО",45
86,"Ханты-Мансийский АО",81
87,"Чукотский АО",86
89,"Ямало-Ненецкий АО",87
